,time_zone,name,coordinates,code,country_code
0,Asia/Shanghai,Linfen,"{'lon': 111.64158, 'lat': 36.13222}",LFQ,CN
1,America/New_York,Quakertown,"{'lon': -75.35, 'lat': 40.433334}",UKT,US
2,Africa/Cairo,El Arish,"{'lon': 33.75, 'lat': 31.133333}",AAC,EG
3,Africa/Gaborone,Orapa,"{'lon': 24.5, 'lat': -21.0}",ORP,BW
4,Asia/Shanghai,Fuyuan,"{'lon': 134.3079, 'lat': 48.3647}",FYJ,CN
5,Asia/Vladivostok,Preobrazheniye,"{'lon': 133.89621, 'lat': 42.90104}",RZH,RU
6,Etc/GMT-1,Sälen,"{'lon': 13.266667, 'lat': 61.15}",SCR,SE
7,Asia/Ho_Chi_Minh,Van Don,"{'lon': 107.41607, 'lat': 21.1155}",VDO,VN
8,Indian/Maldives,Maamigili,"{'lon': 72.83503, 'lat': 3.47085}",VAM,MV
9,Pacific/Efate,Sola,"{'lon': 167.55, 'lat': -13.883333}",SLH,VU
10,America/Goose_Bay,Black Tickle,"{'lon': -55.733334, 'lat': 53.45}",YBI,CA
11,Europe/Moscow,Anapa,"{'lon': 37.316666, 'lat': 44.9}",AAQ,RU
12,Asia/Yekaterinburg,Salekhard,"{'lon': 66.6, 'lat': 66.583336}",SLY,RU
13,Asia/Bangkok,Bangkok,"{'lon': 100.4762319, 'lat': 13.7234186}",BKK,TH
14,Africa/Addis_Ababa,Kabri Dar,"{'lon': 44.26611, 'lat': 6.733889}",ABK,ET
15,America/Anchorage,Umnak Island,"{'lon': -167.8875, 'lat': 53.376667}",UMB,US
16,Africa/Abidjan,Aboisso,"{'lon': -3.216667, 'lat': 5.433333}",ABO,CI
17,Europe/Oslo,Asker,,XGU,NO
18,Europe/Kiev,Kyiv,"{'lon': 30.5, 'lat': 50.45}",IEV,UA
19,America/Boise,Sun Valley,"{'lon': -114.3517172, 'lat': 43.6971294}",SUN,US
20,America/New_York,Manchester,"{'lon': -71.43844, 'lat': 42.92786}",MHT,US
21,Pacific/Guadalcanal,Gatokae,"{'lon': 158.18333, 'lat': -8.766667}",GTA,SB
22,America/Costa_Rica,Upala,"{'lon': -85.03333, 'lat': 10.783333}",UPL,CR
23,America/Detroit,Alma,"{'lon': -84.65, 'lat': 43.38333}",AMN,US
24,Europe/London,Benson,"{'lon': -1.083333, 'lat': 51.63333}",BEX,GB
25,America/Cuiaba,Aripuana,"{'lon': -59.38333, 'lat': -10.25}",AIR,BR
26,America/Sao_Paulo,Rio Grande,"{'lon': -52.166668, 'lat': -32.083332}",RIG,BR
27,America/Chicago,Prairie Du Chien,"{'lon': -91.11667, 'lat': 43.016666}",PCD,US
28,Europe/Moscow,Krasnodar,"{'lon': 39.139004, 'lat': 45.034138}",KRR,RU
29,America/Edmonton,Fairmont Hot Springs,"{'lon': -115.87361, 'lat': 50.331944}",YCZ,CA
30,Europe/Vienna,Vienna,"{'lon': 16.3738189, 'lat': 48.2081743}",VIE,AT
31,America/Chicago,Grandview,"{'lon': -94.53333, 'lat': 38.88333}",GVW,US
32,America/Vancouver,Chemainus,,XHS,CA
33,Asia/Yekaterinburg,Chelyabinsk,"{'lon': 61.51235, 'lat': 55.297504}",CEK,RU
34,Europe/Amsterdam,Utrecht,"{'lon': 5.166667, 'lat': 52.083332}",UTC,NL
35,Europe/Madrid,Alicante,"{'lon': -0.4809945, 'lat': 38.34521}",ALC,ES
36,America/Toronto,Fort Albany,"{'lon': -81.59167, 'lat': 52.24167}",YFA,CA
37,Europe/Vilnius,Palanga,"{'lon': 21.1318065, 'lat': 55.7108026}",KLJ,LT
38,Europe/Helsinki,Valkeala,"{'lon': 26.933332, 'lat': 60.9}",UTI,FI
39,Pacific/Port_Moresby,Sasereme,,TDS,PG
40,Australia/Brisbane,Monto,"{'lon': 151.1, 'lat': -24.883333}",MNQ,AU
41,Europe/Athens,Athens,"{'lon': 23.946486, 'lat': 37.93635}",ATH,GR
42,Asia/Shanghai,Haikou,"{'lon': 110.45717, 'lat': 19.941612}",HAK,CN
43,Europe/Moscow,Groznyy,"{'lon': 45.75, 'lat': 43.333332}",GRV,RU
44,America/Bogota,Yavarate,"{'lon': -70.75, 'lat': 1.116667}",VAB,CO
45,Pacific/Port_Moresby,Angoram,"{'lon': 144.07388, 'lat': -4.168611}",AGG,PG
46,America/Argentina/Buenos_Aires,Buenos Aires,"{'lon': -58.3731613, 'lat': -34.6084175}",BUE,AR
47,Europe/Athens,Agrinion,"{'lon': 21.351944, 'lat': 38.604168}",AGQ,GR
48,Asia/Tehran,Araak,"{'lon': 49.833332, 'lat': 34.13333}",AJK,IR
49,Europe/Moscow,Cheboksary,"{'lon': 47.266666, 'lat': 56.13333}",CSY,RU
